,PPV,TPR,F1,INF
6AZ3_1_6,0.7,0.875,0.778,0.783
6YDP_1_AV,0.529,0.75,0.621,0.63
3AKZ_1_E,0.476,0.556,0.513,0.514
7C7L_1_C,0.629,0.688,0.657,0.657
7KGB_1_B,0.933,1.0,0.966,0.966
5E81_1_2K,0.952,1.0,0.976,0.976
6ERI_1_AB,0.875,0.875,0.875,0.875
7B5K_1_x,0.238,0.227,0.233,0.233
4AY2_1_C,1.0,1.0,1.0,1.0
4PCJ_1_A,0.0,0.0,0.0,0.0
3NPQ_1_A,0.429,0.5,0.462,0.463
1N78_1_C,0.955,1.0,0.977,0.977
5F9F_1_F,1.0,1.0,1.0,1.0
7QEP_1_2,0.943,0.943,0.943,0.943
4V9F_1_9,0.5,0.5,0.5,0.5
6H0R_1_A,1.0,1.0,1.0,1.0
6ZDQ_1_C,0.833,0.882,0.857,0.857
6W5C_1_B,0.0,0.0,0.0,0.0
5HR6_1_C,0.952,1.0,0.976,0.976
7N2V_1_Dt,0.286,0.3,0.293,0.293
6TQB_1_B,1.0,1.0,1.0,1.0
5XH7_1_B,0.0,0.0,0.0,0.0
7ONU_1_T,1.0,1.0,1.0,1.0
361D_1_A,1.0,1.0,1.0,1.0
6UGG_1_B,0.727,0.667,0.696,0.696
2PJP_1_B,0.8,0.889,0.842,0.843
6ZMI_1_L7,0.944,0.944,0.944,0.944
6ZP4_1_1,0.524,0.5,0.512,0.512
6XH2_1_D,0.9,1.0,0.947,0.949
2OZB_1_C,1.0,1.0,1.0,1.0
5UD5_1_C,0.958,1.0,0.979,0.979
5XTM_1_D,0.273,0.375,0.316,0.32
6F4H_1_D,1.0,1.0,1.0,1.0
2VPL_1_B,1.0,1.0,1.0,1.0
4P5J_1_A,0.667,0.783,0.72,0.722
5J7L_1_DB,0.278,0.25,0.263,0.264
5NWQ_1_A,0.0,0.0,0.0,0.0
5ID6_1_G,1.0,1.0,1.0,1.0
3G9C_1_Q,0.619,0.65,0.634,0.634
4V8D_1_CD,0.958,1.0,0.979,0.979
5NDH_1_A,0.0,0.0,0.0,0.0
4XWF_1_A,0.737,0.824,0.778,0.779
6N2V_1_A,0.969,0.969,0.969,0.969
5SWD_1_B,0.522,0.8,0.632,0.646
7N2V_1_Pt,0.81,0.85,0.829,0.83
1F27_1_A,1.0,1.0,1.0,1.0
2Z75_1_B,0.75,0.8,0.774,0.775
1HMH_1_A,1.0,1.0,1.0,1.0
7KI3_1_C,1.0,1.0,1.0,1.0
6H9H_1_E,0.0,0.0,0.0,0.0
2B3J_1_E,0.0,0.0,0.0,0.0
4X4N_1_D,1.0,1.0,1.0,1.0
7JRR_1_A,0.0,0.0,0.0,0.0
7ODF_1_F,1.0,1.0,1.0,1.0
2OEU_1_A,0.8,0.8,0.8,0.8
6YL5_1_I,0.5,0.429,0.462,0.463
6VRB_1_B,0.8,1.0,0.889,0.894
6CFJ_1_1x,0.952,1.0,0.976,0.976
6TB3_1_n,0.952,1.0,0.976,0.976
1XOK_1_A,1.0,1.0,1.0,1.0
6PMO_1_A,0.95,1.0,0.974,0.975
3HJW_1_D,1.0,1.0,1.0,1.0
2F8K_1_B,0.833,1.0,0.909,0.913
5XTM_1_B,0.3,0.375,0.333,0.335
1ZL3_1_B,1.0,1.0,1.0,1.0
6ZM6_1_x,1.0,1.0,1.0,1.0
1IL2_1_C,0.55,0.579,0.564,0.564
4PKD_1_V,1.0,1.0,1.0,1.0
5ZQ8_1_D,0.0,0.0,0.0,0.0
7KGA_1_A,0.75,1.0,0.857,0.866
5NS3_1_C,0.9,1.0,0.947,0.949
5D8H_1_A,0.882,0.882,0.882,0.882
3K1V_1_A,0.625,1.0,0.769,0.791
5DEA_1_C,0.714,0.833,0.769,0.772
6M0X_1_B,0.867,0.929,0.897,0.897
1M5K_1_B,0.944,0.895,0.919,0.919
5F5F_1_F,1.0,1.0,1.0,1.0
5DEA_1_A,0.714,0.833,0.769,0.772
5B63_1_D,0.889,1.0,0.941,0.943
5ZW4_1_D,1.0,1.0,1.0,1.0
6H9H_1_D,0.833,1.0,0.909,0.913
4V90_1_AV,0.95,1.0,0.974,0.975
6UFG_1_A,0.674,0.721,0.697,0.697
5B2T_1_A,0.824,0.778,0.8,0.8
2DRA_1_B,1.0,1.0,1.0,1.0
5DH6_1_A,0.833,1.0,0.909,0.913
5W1H_1_B,0.8,1.0,0.889,0.894
2ANN_1_B,0.0,0.0,0.0,0.0
6YWE_1_bb,1.0,1.0,1.0,1.0
3FOZ_1_D,0.5,0.5,0.5,0.5
6SVS_1_A,0.792,0.792,0.792,0.792
6RFL_1_U,0.5,0.6,0.545,0.548
4ZLD_1_B,1.0,1.0,1.0,1.0
4Z31_1_E,1.0,1.0,1.0,1.0
7P48_1_5,0.952,1.0,0.976,0.976
5NFV_1_B,1.0,1.0,1.0,1.0
5BTM_1_A,0.833,1.0,0.909,0.913
6UGI_1_A,1.0,1.0,1.0,1.0
3RW6_1_H,1.0,1.0,1.0,1.0
6WJR_1_X,0.71,0.759,0.733,0.734
5U30_1_B,0.321,0.409,0.36,0.363
6UFM_1_A,0.773,0.739,0.756,0.756
7MJV_1_E,1.0,1.0,1.0,1.0
2QUW_1_B,0.5,0.545,0.522,0.522
1KXK_1_A,0.826,0.792,0.809,0.809
2A43_1_A,0.571,1.0,0.727,0.756
5V3F_1_A,0.0,0.0,0.0,0.0
2ZZN_1_D,0.955,1.0,0.977,0.977
6GSJ_1_3L,0.947,1.0,0.973,0.973
6AZ4_1_A,0.0,0.0,0.0,0.0
5M0J_1_F,1.0,1.0,1.0,1.0
1KUQ_1_B,0.684,0.722,0.703,0.703
5MSF_1_R,1.0,1.0,1.0,1.0
2HW8_1_B,1.0,1.0,1.0,1.0
2BH2_1_D,1.0,1.0,1.0,1.0
1SER_1_T,0.45,0.474,0.462,0.462
3JCS_1_3,0.289,0.367,0.324,0.326
7D7V_1_A,0.842,1.0,0.914,0.918
4FEN_1_B,0.826,1.0,0.905,0.909
7R81_1_t1,0.75,0.789,0.769,0.769
1EC6_1_C,1.0,1.0,1.0,1.0
6XKO_1_A,0.286,0.32,0.302,0.302
6SZV_1_V,0.0,0.0,0.0,0.0
5F5H_1_D,1.0,1.0,1.0,1.0
5XJ2_1_G,0.5,1.0,0.667,0.707
