,PPV,TPR,F1,INF
5D0A_1_F,1.0,1.0,1.0,1.0
1ZL3_1_B,1.0,1.0,1.0,1.0
7ONU_1_T,1.0,1.0,1.0,1.0
1QTQ_1_B,0.45,0.529,0.486,0.488
6QW6_1_5,0.941,1.0,0.97,0.97
3OIN_1_C,1.0,1.0,1.0,1.0
2XDB_1_G,0.571,1.0,0.727,0.756
7P48_1_5,0.952,1.0,0.976,0.976
7MLW_1_F,0.675,0.73,0.701,0.702
3JCS_1_5,0.222,0.2,0.211,0.211
3JCS_1_3,0.342,0.382,0.361,0.362
6M0X_1_B,0.867,0.929,0.897,0.897
6W5C_1_B,0.0,0.0,0.0,0.0
7N2V_1_Pt,0.524,0.579,0.55,0.551
6PRV_1_A,0.929,1.0,0.963,0.964
5T16_1_H,1.0,1.0,1.0,1.0
5E81_1_2K,0.524,0.5,0.512,0.512
6TB3_1_n,0.571,0.6,0.585,0.586
6JQ6_1_U,0.947,0.947,0.947,0.947
6LTU_1_B,0.833,1.0,0.909,0.913
1H4S_1_T,0.75,0.75,0.75,0.75
1F27_1_A,1.0,1.0,1.0,1.0
6E8T_1_D,1.0,1.0,1.0,1.0
6U8D_1_A,0.926,1.0,0.962,0.962
1E7K_1_C,0.0,0.0,0.0,0.0
4ZDO_1_E,0.63,0.68,0.654,0.654
3NDB_1_M,1.0,1.0,1.0,1.0
6KWQ_1_B,1.0,1.0,1.0,1.0
6SY4_1_C,1.0,1.0,1.0,1.0
7RYG_1_B,0.75,0.857,0.8,0.802
4PRF_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.6,0.6,0.6,0.6
4BW0_1_A,0.5,0.5,0.5,0.5
6KYV_1_G,1.0,1.0,1.0,1.0
3ZGZ_1_B,0.56,0.636,0.596,0.597
6ZVI_1_e,0.45,0.429,0.439,0.439
2ZZM_1_B,0.3,0.353,0.324,0.325
7LJ3_1_A,0.19,0.211,0.2,0.2
4Z7K_1_C,0.0,0.0,0.0,0.0
1Y26_1_X,0.8,1.0,0.889,0.894
5B2T_1_A,0.824,0.778,0.8,0.8
5HR6_1_C,0.524,0.688,0.595,0.6
7OZQ_1_H,1.0,1.0,1.0,1.0
4FAR_1_A,0.603,0.716,0.655,0.657
4ZNP_1_A,0.762,1.0,0.865,0.873
5F5F_1_F,1.0,1.0,1.0,1.0
4AL5_1_B,1.0,1.0,1.0,1.0
4PR6_1_B,0.0,0.0,0.0,0.0
3FOZ_1_D,0.5,0.5,0.5,0.5
2VPL_1_B,1.0,1.0,1.0,1.0
6TC3_1_PTR1,0.333,0.389,0.359,0.36
5WT1_1_C,0.0,0.0,0.0,0.0
5K7D_1_A,0.417,0.5,0.455,0.456
1XJR_1_A,0.733,0.733,0.733,0.733
7JRR_1_A,0.308,0.308,0.308,0.308
5M0J_1_E,1.0,1.0,1.0,1.0
7RQB_1_1B,0.622,0.793,0.697,0.702
5B2P_1_B,0.524,0.55,0.537,0.537
6YDP_1_AV,0.529,0.75,0.621,0.63
1ET4_1_A,0.125,0.167,0.143,0.144
7AQC_1_B,0.677,0.7,0.689,0.689
7C7L_1_C,0.629,0.71,0.667,0.668
6H9H_1_D,0.0,0.0,0.0,0.0
4LX6_1_A,0.84,1.0,0.913,0.917
2A43_1_A,0.571,1.0,0.727,0.756
6ZU5_1_L70,0.314,0.367,0.338,0.339
2Z75_1_B,0.75,0.774,0.762,0.762
4Z0C_1_C,1.0,1.0,1.0,1.0
7KI3_1_C,1.0,1.0,1.0,1.0
6TQA_1_G,0.875,1.0,0.933,0.935
4XNR_1_X,0.84,1.0,0.913,0.917
5FJC_1_A,0.724,0.75,0.737,0.737
7D7W_1_A,0.842,0.941,0.889,0.89
5DEA_1_A,0.714,0.833,0.769,0.772
6ZM6_1_x,0.762,1.0,0.865,0.873
6WBR_1_B,0.727,0.762,0.744,0.744
6H0R_1_A,0.923,1.0,0.96,0.961
6UGG_1_B,0.545,0.632,0.585,0.587
6DLR_1_A,0.75,0.828,0.787,0.788
4IFD_1_R,1.0,1.0,1.0,1.0
6SZV_1_V,0.0,0.0,0.0,0.0
5T5H_1_G,0.444,0.471,0.457,0.457
6XKO_1_A,0.821,0.92,0.868,0.869
4PCJ_1_A,0.833,1.0,0.909,0.913
3MXH_1_R,0.24,0.273,0.255,0.256
7N2V_1_Dt,0.286,0.333,0.308,0.309
6JOO_1_B,0.692,0.621,0.655,0.656
7KVT_1_B,0.682,0.833,0.75,0.754
7O80_1_AT,0.565,0.684,0.619,0.622
6ZMI_1_CC,0.8,0.842,0.821,0.821
5L4O_1_A,0.524,0.524,0.524,0.524
7O7Z_1_AH,0.769,0.769,0.769,0.769
6ZP4_1_1,0.286,0.3,0.293,0.293
3KFU_1_L,0.955,1.0,0.977,0.977
6XH2_1_D,0.9,1.0,0.947,0.949
2Y8Y_1_B,1.0,1.0,1.0,1.0
2ZUE_1_B,0.318,0.368,0.341,0.342
5F9F_1_F,1.0,1.0,1.0,1.0
5XTM_1_D,0.455,0.5,0.476,0.477
5XTM_1_B,0.5,0.5,0.5,0.5
6F4H_1_D,1.0,1.0,1.0,1.0
6MSF_1_S,0.0,0.0,0.0,0.0
7AS8_1_2,0.263,0.25,0.256,0.256
1QU2_1_T,0.318,0.304,0.311,0.311
3SN2_1_B,0.917,1.0,0.957,0.957
5DEA_1_C,0.714,0.833,0.769,0.772
4QI2_1_G,0.0,0.0,0.0,0.0
2Y9H_1_N,1.0,1.0,1.0,1.0
7JIL_1_3,0.323,0.357,0.339,0.339
7D81_1_A,1.0,1.0,1.0,1.0
4V90_1_AV,0.95,1.0,0.974,0.975
4C4W_1_H,0.0,0.0,0.0,0.0
3SKL_1_B,0.833,1.0,0.909,0.913
2OEU_1_A,0.8,0.8,0.8,0.8
6E1S_1_A,0.714,1.0,0.833,0.845
3JCS_1_6,0.0,0.0,0.0,0.0
3HAX_1_E,1.0,1.0,1.0,1.0
6QW6_1_4,0.536,0.6,0.566,0.567
1HMH_1_E,1.0,1.0,1.0,1.0
5AH5_1_D,0.478,0.524,0.5,0.501
6UFJ_1_C,0.417,0.5,0.455,0.456
4ENC_1_A,0.333,0.455,0.385,0.389
5ZTM_1_C,0.941,1.0,0.97,0.97
7LYT_1_B,1.0,1.0,1.0,1.0
6AAY_1_B,1.0,1.0,1.0,1.0
1F1T_1_A,0.5,0.833,0.625,0.645
6ERI_1_Ax,0.771,0.794,0.783,0.783
7OAX_1_A,0.6,0.6,0.6,0.6
6AZ4_1_A,1.0,1.0,1.0,1.0
7EOG_1_A,0.933,1.0,0.966,0.966
3G9C_1_Q,0.619,0.65,0.634,0.634
7JNH_1_B,1.0,1.0,1.0,1.0
2I82_1_F,1.0,1.0,1.0,1.0
6TQB_1_B,1.0,1.0,1.0,1.0
6F4G_1_C,1.0,1.0,1.0,1.0
3GS5_1_C,0.727,0.8,0.762,0.763
7ELQ_1_A,0.733,0.786,0.759,0.759
6WOO_1_3,0.476,0.526,0.5,0.501
6P7M_1_B,1.0,1.0,1.0,1.0
6AZ3_1_8,0.833,0.938,0.882,0.884
2Y8W_1_B,1.0,1.0,1.0,1.0
6SVS_1_A,0.375,0.375,0.375,0.375
2PJP_1_B,0.8,0.889,0.842,0.843
6R5Q_1_3,0.286,0.353,0.316,0.318
6XA1_1_Bv,0.353,0.353,0.353,0.353
4X4U_1_G,0.714,1.0,0.833,0.845
6SKG_1_BB,0.892,0.943,0.917,0.917
7KGA_1_A,0.75,1.0,0.857,0.866
6N2V_1_A,0.969,0.969,0.969,0.969
1GAX_1_D,0.955,1.0,0.977,0.977
5UDZ_1_W,1.0,1.0,1.0,1.0
6AZ3_1_3,0.5,0.575,0.535,0.536
7EL1_1_B,1.0,1.0,1.0,1.0
4QEI_1_C,0.81,0.944,0.872,0.874
4K27_1_U,1.0,1.0,1.0,1.0
1MJI_1_D,0.9,1.0,0.947,0.949
4QIL_1_C,1.0,1.0,1.0,1.0
4NLF_1_A,1.0,1.0,1.0,1.0
4LGT_1_E,0.667,0.8,0.727,0.73
7CPU_1_L7,0.833,0.857,0.845,0.845
4YCO_1_D,0.955,1.0,0.977,0.977
3NVI_1_F,0.667,0.667,0.667,0.667
