,PPV,TPR,F1,INF
5D0A_1_F,1.0,1.0,1.0,1.0
1ZL3_1_B,1.0,1.0,1.0,1.0
7ONU_1_T,1.0,1.0,1.0,1.0
1QTQ_1_B,0.95,1.0,0.974,0.975
6QW6_1_5,0.971,1.0,0.985,0.985
3OIN_1_C,1.0,1.0,1.0,1.0
2XDB_1_G,0.0,0.0,0.0,0.0
7P48_1_5,0.952,1.0,0.976,0.976
7MLW_1_F,0.7,0.737,0.718,0.718
3JCS_1_5,0.222,0.2,0.211,0.211
3JCS_1_3,0.579,0.733,0.647,0.652
6M0X_1_B,0.933,1.0,0.966,0.966
6W5C_1_B,0.0,0.0,0.0,0.0
7N2V_1_Pt,0.714,1.0,0.833,0.845
6PRV_1_A,0.929,1.0,0.963,0.964
5T16_1_H,1.0,1.0,1.0,1.0
5E81_1_2K,0.952,1.0,0.976,0.976
6TB3_1_n,0.905,1.0,0.95,0.951
6JQ6_1_U,0.947,0.947,0.947,0.947
6LTU_1_B,0.833,1.0,0.909,0.913
1H4S_1_T,0.45,0.5,0.474,0.474
1F27_1_A,1.0,1.0,1.0,1.0
6E8T_1_D,1.0,1.0,1.0,1.0
6U8D_1_A,0.963,1.0,0.981,0.981
1E7K_1_C,0.6,1.0,0.75,0.775
4ZDO_1_E,0.63,0.68,0.654,0.654
3NDB_1_M,1.0,1.0,1.0,1.0
6KWQ_1_B,0.0,0.0,0.0,0.0
6SY4_1_C,1.0,1.0,1.0,1.0
7RYG_1_B,0.813,0.929,0.867,0.869
4PRF_1_B,0.636,1.0,0.778,0.798
1U1Y_1_R,0.6,0.6,0.6,0.6
4BW0_1_A,1.0,1.0,1.0,1.0
6KYV_1_G,1.0,1.0,1.0,1.0
3ZGZ_1_B,0.76,1.0,0.864,0.872
6ZVI_1_e,0.9,0.947,0.923,0.923
2ZZM_1_B,0.8,0.889,0.842,0.843
7LJ3_1_A,0.952,1.0,0.976,0.976
4Z7K_1_C,0.0,0.0,0.0,0.0
1Y26_1_X,0.84,1.0,0.913,0.917
5B2T_1_A,0.824,0.737,0.778,0.779
5HR6_1_C,0.952,1.0,0.976,0.976
7OZQ_1_H,1.0,1.0,1.0,1.0
4FAR_1_A,0.86,0.972,0.912,0.914
4ZNP_1_A,0.762,1.0,0.865,0.873
5F5F_1_F,1.0,1.0,1.0,1.0
4AL5_1_B,1.0,1.0,1.0,1.0
4PR6_1_B,0.636,1.0,0.778,0.798
3FOZ_1_D,0.944,1.0,0.971,0.972
2VPL_1_B,1.0,1.0,1.0,1.0
6TC3_1_PTR1,1.0,1.0,1.0,1.0
5WT1_1_C,0.9,1.0,0.947,0.949
5K7D_1_A,0.5,0.75,0.6,0.612
1XJR_1_A,0.933,1.0,0.966,0.966
7JRR_1_A,0.308,0.333,0.32,0.32
5M0J_1_E,1.0,1.0,1.0,1.0
7RQB_1_1B,0.973,0.973,0.973,0.973
5B2P_1_B,0.524,0.55,0.537,0.537
6YDP_1_AV,1.0,1.0,1.0,1.0
1ET4_1_A,0.375,0.75,0.5,0.53
7AQC_1_B,0.677,0.7,0.689,0.689
7C7L_1_C,0.629,0.846,0.721,0.729
6H9H_1_D,0.0,0.0,0.0,0.0
4LX6_1_A,0.84,1.0,0.913,0.917
2A43_1_A,0.571,1.0,0.727,0.756
6ZU5_1_L70,0.829,0.784,0.806,0.806
2Z75_1_B,0.688,0.846,0.759,0.763
4Z0C_1_C,1.0,1.0,1.0,1.0
7KI3_1_C,1.0,1.0,1.0,1.0
6TQA_1_G,1.0,1.0,1.0,1.0
4XNR_1_X,0.84,1.0,0.913,0.917
5FJC_1_A,0.793,1.0,0.885,0.891
7D7W_1_A,0.842,0.941,0.889,0.89
5DEA_1_A,0.714,0.833,0.769,0.772
6ZM6_1_x,0.952,1.0,0.976,0.976
6WBR_1_B,0.727,0.8,0.762,0.763
6H0R_1_A,1.0,1.0,1.0,1.0
6UGG_1_B,0.955,1.0,0.977,0.977
6DLR_1_A,0.781,0.893,0.833,0.835
4IFD_1_R,1.0,1.0,1.0,1.0
6SZV_1_V,1.0,1.0,1.0,1.0
5T5H_1_G,0.667,0.686,0.676,0.676
6XKO_1_A,0.286,0.727,0.41,0.456
4PCJ_1_A,0.917,1.0,0.957,0.957
3MXH_1_R,0.76,0.95,0.844,0.85
7N2V_1_Dt,0.952,1.0,0.976,0.976
6JOO_1_B,0.692,0.621,0.655,0.656
7KVT_1_B,0.909,1.0,0.952,0.953
7O80_1_AT,0.957,1.0,0.978,0.978
6ZMI_1_CC,0.8,0.889,0.842,0.843
5L4O_1_A,0.952,1.0,0.976,0.976
7O7Z_1_AH,0.577,0.714,0.638,0.642
6ZP4_1_1,0.952,1.0,0.976,0.976
3KFU_1_L,0.955,1.0,0.977,0.977
6XH2_1_D,0.9,1.0,0.947,0.949
2Y8Y_1_B,1.0,1.0,1.0,1.0
2ZUE_1_B,0.955,1.0,0.977,0.977
5F9F_1_F,1.0,1.0,1.0,1.0
5XTM_1_D,0.182,0.222,0.2,0.201
5XTM_1_B,0.2,0.25,0.222,0.224
6F4H_1_D,1.0,1.0,1.0,1.0
6MSF_1_S,1.0,1.0,1.0,1.0
7AS8_1_2,0.947,1.0,0.973,0.973
1QU2_1_T,0.955,1.0,0.977,0.977
3SN2_1_B,0.917,1.0,0.957,0.957
5DEA_1_C,0.714,0.833,0.769,0.772
4QI2_1_G,0.0,0.0,0.0,0.0
2Y9H_1_N,1.0,1.0,1.0,1.0
7JIL_1_3,0.613,0.76,0.679,0.683
7D81_1_A,1.0,1.0,1.0,1.0
4V90_1_AV,0.95,1.0,0.974,0.975
4C4W_1_H,1.0,1.0,1.0,1.0
3SKL_1_B,0.833,1.0,0.909,0.913
2OEU_1_A,0.8,1.0,0.889,0.894
6E1S_1_A,0.714,1.0,0.833,0.845
3JCS_1_6,0.0,0.0,0.0,0.0
3HAX_1_E,1.0,1.0,1.0,1.0
6QW6_1_4,0.536,0.652,0.588,0.591
1HMH_1_E,1.0,1.0,1.0,1.0
5AH5_1_D,0.913,1.0,0.955,0.956
6UFJ_1_C,0.333,0.444,0.381,0.385
4ENC_1_A,0.333,0.417,0.37,0.373
5ZTM_1_C,0.941,1.0,0.97,0.97
7LYT_1_B,1.0,1.0,1.0,1.0
6AAY_1_B,1.0,1.0,1.0,1.0
1F1T_1_A,0.9,1.0,0.947,0.949
6ERI_1_Ax,0.771,0.771,0.771,0.771
7OAX_1_A,0.6,0.6,0.6,0.6
6AZ4_1_A,0.0,0.0,0.0,0.0
7EOG_1_A,0.933,1.0,0.966,0.966
3G9C_1_Q,0.786,0.868,0.825,0.826
7JNH_1_B,1.0,1.0,1.0,1.0
2I82_1_F,1.0,1.0,1.0,1.0
6TQB_1_B,1.0,1.0,1.0,1.0
6F4G_1_C,1.0,1.0,1.0,1.0
3GS5_1_C,0.727,1.0,0.842,0.853
7ELQ_1_A,0.8,1.0,0.889,0.894
6WOO_1_3,1.0,1.0,1.0,1.0
6P7M_1_B,1.0,1.0,1.0,1.0
6AZ3_1_8,0.833,0.909,0.87,0.87
2Y8W_1_B,1.0,1.0,1.0,1.0
6SVS_1_A,0.583,1.0,0.737,0.764
2PJP_1_B,0.8,0.889,0.842,0.843
6R5Q_1_3,0.952,1.0,0.976,0.976
6XA1_1_Bv,0.353,0.353,0.353,0.353
4X4U_1_G,0.714,1.0,0.833,0.845
6SKG_1_BB,0.919,0.919,0.919,0.919
7KGA_1_A,0.75,1.0,0.857,0.866
6N2V_1_A,0.969,0.969,0.969,0.969
1GAX_1_D,0.955,1.0,0.977,0.977
5UDZ_1_W,1.0,1.0,1.0,1.0
6AZ3_1_3,0.5,0.657,0.568,0.573
7EL1_1_B,0.813,0.684,0.743,0.746
4QEI_1_C,0.952,1.0,0.976,0.976
4K27_1_U,0.882,1.0,0.938,0.939
1MJI_1_D,0.9,1.0,0.947,0.949
4QIL_1_C,1.0,1.0,1.0,1.0
4NLF_1_A,1.0,1.0,1.0,1.0
4LGT_1_E,0.667,0.8,0.727,0.73
7CPU_1_L7,0.639,0.639,0.639,0.639
4YCO_1_D,0.955,1.0,0.977,0.977
3NVI_1_F,1.0,1.0,1.0,1.0
